municipio,departamento,pobreza_pct,desempleo_pct,educacion_anos,ingreso_capita,cobertura_salud,mortalidad_infantil,acceso_internet,indice_gini
Sabaneta,Antioquia,4.5,7.2,10.8,2850000,97.3,5.2,78.4,0.412
Envigado,Antioquia,4.9,6.8,11.2,3100000,97.8,4.8,80.1,0.408
Chía,Cundinamarca,6.7,7.5,10.9,2700000,96.5,6.1,74.2,0.421
Medellín,Antioquia,11.2,12.5,9.8,1980000,95.4,9.8,68.3,0.494
Bogotá D.C.,Bogotá D.C.,11.9,11.3,10.1,2150000,96.1,8.4,72.5,0.497
Manizales,Caldas,13.8,12.1,10.2,1920000,95.2,8.9,65.4,0.469
Pereira,Risaralda,16.4,13.2,9.6,1780000,94.1,10.2,61.8,0.478
Armenia,Quindío,18.2,14.1,9.4,1690000,93.8,10.8,59.7,0.483
Bucaramanga,Santander,13.1,11.8,10.0,2020000,95.6,9.1,66.9,0.461
Cali,Valle del Cauca,21.3,16.7,9.2,1620000,93.2,12.4,57.8,0.516
Barranquilla,Atlántico,26.1,10.8,8.9,1580000,91.4,13.1,54.2,0.482
Cartagena,Bolívar,30.4,9.2,8.6,1510000,90.8,14.2,51.6,0.503
Ibagué,Tolima,24.7,16.5,9.1,1640000,92.7,11.9,56.1,0.488
Santa Marta,Magdalena,34.2,11.3,8.4,1430000,89.5,15.8,48.3,0.514
Villavicencio,Meta,21.8,9.7,9.5,1720000,92.3,11.4,58.4,0.472
Cúcuta,Norte de Santander,35.6,19.8,8.5,1320000,88.6,16.3,46.7,0.512
Pasto,Nariño,28.9,13.4,9.2,1560000,91.8,13.7,53.8,0.493
Neiva,Huila,26.5,12.8,9.0,1600000,92.1,12.8,55.2,0.481
Montería,Córdoba,41.2,11.6,7.8,1280000,87.4,18.6,42.1,0.526
Sincelejo,Sucre,43.8,12.4,7.6,1190000,86.2,19.4,39.8,0.534
Popayán,Cauca,33.1,14.2,8.8,1490000,89.9,15.1,49.7,0.508
Tunja,Boyacá,18.6,11.9,10.3,1840000,94.3,10.1,62.7,0.453
Florencia,Caquetá,47.3,13.7,7.4,1120000,85.6,21.2,37.4,0.531
Valledupar,Cesar,36.8,11.1,8.2,1350000,88.9,17.1,45.8,0.519
Riohacha,La Guajira,58.4,14.2,6.9,980000,82.3,24.8,28.6,0.548
Quibdó,Chocó,72.1,18.6,6.1,810000,76.4,31.2,21.4,0.571
Leticia,Amazonas,53.8,10.4,7.2,1060000,83.1,22.4,33.2,0.538
Inírida,Guainía,68.4,9.8,6.4,890000,78.2,28.9,24.1,0.557
Mitú,Vaupés,74.2,8.6,5.8,820000,74.6,33.1,18.7,0.562
Puerto Carreño,Vichada,71.3,9.1,6.0,840000,75.8,31.8,19.4,0.558
Mocoa,Putumayo,51.6,12.8,7.5,1080000,84.3,22.1,34.8,0.533
Arauca,Arauca,44.2,11.4,7.9,1240000,87.1,19.8,41.3,0.527
Yopal,Casanare,33.4,8.7,8.6,1480000,90.2,15.6,50.4,0.498
San José del Guaviare,Guaviare,62.7,11.2,6.7,930000,79.6,27.3,26.8,0.551
Rionegro,Antioquia,8.3,8.4,10.4,2480000,96.8,6.8,72.8,0.434
Itagüí,Antioquia,7.1,9.6,10.1,2310000,96.4,7.4,70.4,0.441
Bello,Antioquia,14.8,11.4,9.5,1860000,94.8,11.1,63.2,0.476
Soacha,Cundinamarca,22.4,12.7,8.9,1560000,92.4,12.6,55.8,0.487
Mosquera,Cundinamarca,12.1,9.2,9.8,2120000,95.1,9.4,66.4,0.453
Facatativá,Cundinamarca,15.6,10.8,9.7,1940000,94.2,10.4,62.8,0.462
Zipaquirá,Cundinamarca,14.2,10.1,9.9,2080000,94.8,9.8,64.6,0.457
Girardot,Cundinamarca,24.3,13.8,8.9,1590000,92.2,12.9,54.6,0.489
Fusagasugá,Cundinamarca,20.6,12.4,9.2,1680000,93.1,11.8,57.6,0.479
Palmira,Valle del Cauca,24.8,14.3,8.8,1570000,91.9,13.4,53.4,0.492
Buenaventura,Valle del Cauca,56.2,17.8,6.8,960000,80.4,26.8,29.4,0.543
Tuluá,Valle del Cauca,22.6,13.1,9.0,1650000,92.6,12.2,56.8,0.484
Buga,Valle del Cauca,21.4,13.6,9.1,1660000,92.9,12.0,57.4,0.481
Cartago,Valle del Cauca,27.8,14.8,8.7,1520000,91.2,13.8,51.8,0.496
Yumbo,Valle del Cauca,16.2,10.4,9.6,1920000,94.6,10.6,63.4,0.464
Floridablanca,Santander,11.4,10.8,10.2,2060000,95.8,9.2,67.2,0.452
Barrancabermeja,Santander,26.4,12.6,9.0,1630000,92.0,12.6,55.4,0.487
Girón,Santander,18.4,11.6,9.4,1780000,93.8,11.2,60.8,0.469
Piedecuesta,Santander,16.8,10.9,9.6,1880000,94.4,10.7,62.4,0.461
Dosquebradas,Risaralda,18.9,13.6,9.4,1720000,93.6,11.4,59.2,0.476
Santa Rosa de Cabal,Risaralda,20.4,14.1,9.2,1640000,93.1,11.9,57.1,0.481
Riosucio,Caldas,38.6,13.4,7.9,1290000,88.2,17.8,43.8,0.523
Chinchiná,Caldas,21.8,12.8,9.1,1680000,93.4,12.1,57.8,0.479
Villamaría,Caldas,15.4,11.2,9.8,1900000,94.6,10.4,63.8,0.458
Aguadas,Caldas,42.6,13.8,7.6,1200000,87.1,19.2,40.6,0.528
La Dorada,Caldas,27.4,12.4,8.9,1570000,91.8,13.2,52.8,0.491
Salamina,Caldas,36.4,13.1,8.1,1310000,88.8,17.1,45.4,0.518
Manzanares,Caldas,39.8,13.6,7.8,1260000,87.6,18.4,42.2,0.525
Ciénaga,Magdalena,48.4,12.8,7.3,1130000,85.4,21.8,36.4,0.534
El Banco,Magdalena,52.6,13.4,7.1,1060000,84.1,23.4,32.4,0.541
Pivijay,Magdalena,58.2,14.1,6.8,980000,82.1,25.8,28.4,0.549
Plato,Magdalena,54.8,13.8,7.0,1020000,83.2,24.2,31.6,0.543
San Zenón,Magdalena,64.2,14.6,6.4,890000,79.4,28.4,22.8,0.558
Sahagún,Córdoba,47.6,12.8,7.4,1140000,85.8,21.4,37.8,0.531
