municipio,departamento,PC1
Sabaneta,Antioquia,5.877400625788788
Envigado,Antioquia,6.376062405885045
Chía,Cundinamarca,5.402036161648627
Medellín,Antioquia,2.7502316431150025
Bogotá D.C.,Bogotá D.C.,3.275731940174979
Manizales,Caldas,3.0242277612122868
Pereira,Risaralda,2.236839463102531
Armenia,Quindío,1.8244807161171348
Bucaramanga,Santander,3.22312194996697
Cali,Valle del Cauca,0.8952710201526473
Barranquilla,Atlántico,1.2535916136082386
Cartagena,Bolívar,0.7518425562376578
Ibagué,Tolima,1.065633558100487
Santa Marta,Magdalena,-0.014188383241632165
Villavicencio,Meta,2.1132887601812054
Cúcuta,Norte de Santander,-0.921801816683142
Pasto,Nariño,0.9213431866460003
Neiva,Huila,1.2275546239523605
Montería,Córdoba,-1.0915138295357114
Sincelejo,Sucre,-1.6215789965559182
Popayán,Cauca,0.10891261424725024
Tunja,Boyacá,2.868379228206038
Florencia,Caquetá,-2.1008542193958437
Valledupar,Cesar,-0.41494892754012724
Riohacha,La Guajira,-3.491492454399018
Quibdó,Chocó,-5.736684624353478
Leticia,Amazonas,-2.4997531485928746
Inírida,Guainía,-4.295237774036879
Mitú,Vaupés,-5.243273815177193
Puerto Carreño,Vichada,-4.927984305398703
Mocoa,Putumayo,-2.349461955938579
Arauca,Arauca,-1.2619307314588686
Yopal,Casanare,0.6037426126998067
San José del Guaviare,Guaviare,-3.842431227648528
Rionegro,Antioquia,4.763333615376162
Itagüí,Antioquia,4.2580469381231545
Bello,Antioquia,2.509552729131996
Soacha,Cundinamarca,1.2451861686191639
Mosquera,Cundinamarca,3.500383293572207
Facatativá,Cundinamarca,2.8052752323257524
Zipaquirá,Cundinamarca,3.2459601863738037
Girardot,Cundinamarca,1.0542534008358158
Fusagasugá,Cundinamarca,1.72530059074851
Palmira,Valle del Cauca,0.842412849161198
Buenaventura,Valle del Cauca,-3.960619144645513
Tuluá,Valle del Cauca,1.4070734499430375
Buga,Valle del Cauca,1.5095541259071297
Cartago,Valle del Cauca,0.509640531839866
Yumbo,Valle del Cauca,2.788587150709798
Floridablanca,Santander,3.5476683934548947
Barrancabermeja,Santander,1.2185561429640521
Girón,Santander,2.2544127504537457
Piedecuesta,Santander,2.6866560193236695
Dosquebradas,Risaralda,1.8876025217848678
Santa Rosa de Cabal,Risaralda,1.5154423516904316
Riosucio,Caldas,-0.9697871898074585
Chinchiná,Caldas,1.6434310996877755
Villamaría,Caldas,2.8695699301934865
Aguadas,Caldas,-1.5479974214067687
La Dorada,Caldas,0.9747518961470911
Salamina,Caldas,-0.6436947808958461
Manzanares,Caldas,-1.2061577588317163
Ciénaga,Magdalena,-2.1781208877157345
El Banco,Magdalena,-2.7966000747871935
Pivijay,Magdalena,-3.596419470617401
Plato,Magdalena,-3.0899664522241492
San Zenón,Magdalena,-4.539042366393619
Sahagún,Córdoba,-2.003328349895972
Lorica,Córdoba,-2.559526710585328
Cereté,Córdoba,-1.5586041246846878
Tierralta,Córdoba,-4.326548133116104
Turbo,Antioquia,-3.7184475889105597
Apartadó,Antioquia,-0.7926790240883932
Carepa,Antioquia,-1.6731212856030027
Caucasia,Antioquia,-1.319055105328022
Andes,Antioquia,0.8096589192714856
Jericó,Antioquia,1.494747098932991
Jardín,Antioquia,1.750477347360146
Urrao,Antioquia,-2.1999446726701395
Yarumal,Antioquia,0.16980706264899303
Santa Fe de Antioquia,Antioquia,0.5178909096982689
Pamplona,Norte de Santander,1.1047198174166517
Ocaña,Norte de Santander,-1.0675642834938568
Tibú,Norte de Santander,-4.047167280308494
El Zulia,Norte de Santander,-1.55350175012586
Pitalito,Huila,-0.3795431258404814
Garzón,Huila,0.021083723573899787
La Plata,Huila,-0.908247217373548
Espinal,Tolima,1.0275722377992702
Honda,Tolima,0.2813786427496597
Líbano,Tolima,-0.4383028312241023
Chaparral,Tolima,-1.7155105996104356
Tumaco,Nariño,-5.681735746061458
Ipiales,Nariño,-0.4161871521503179
Túquerres,Nariño,-1.9872719160707102
La Unión,Nariño,-1.0518509144387624
